txn_id,investor_id,city,investor_segment,fund_id,fund_name,category,txn_date,txn_type,amount_pkr
TXN002934,INV0350,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-03-26,Sell,1168282.19
TXN000334,INV0040,Islamabad,Retail,F006,Meezan Gold Fund,Commodity,2020-03-27,Buy,82469.28
TXN003398,INV0402,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-27,Sell,98792.88
TXN001252,INV0158,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-27,Buy,111343.93
TXN001174,INV0149,Islamabad,HNI,F005,KSE Meezan Index Fund,Index,2020-03-27,Sell,713995.67
TXN001561,INV0196,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-03-28,Buy,51459.77
TXN001592,INV0199,Karachi,HNI,F004,Meezan Balanced Fund,Balanced,2020-03-29,Buy,315570.72
TXN001712,INV0212,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-03-29,Buy,108448.3
TXN000410,INV0049,Islamabad,HNI,F002,Meezan Islamic Income Fund,Income,2020-03-30,Sell,1357237.98
TXN002200,INV0271,Lahore,HNI,F003,Meezan Cash Fund,Money Market,2020-03-30,Buy,523201.07
TXN003777,INV0440,Lahore,Institutional,F004,Meezan Balanced Fund,Balanced,2020-03-30,Buy,5292783.11
TXN001610,INV0202,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-31,Buy,83831.58
TXN004095,INV0488,Lahore,HNI,F002,Meezan Islamic Income Fund,Income,2020-03-31,Buy,596351.88
TXN004147,INV0493,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-31,Buy,25349.45
TXN000760,INV0095,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-31,Sell,26536.01
TXN001435,INV0182,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-03-31,Sell,99285.95
TXN002541,INV0306,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-04-01,Buy,123778.21
TXN003502,INV0412,Faisalabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-04-01,Buy,99843.95
TXN002175,INV0269,Lahore,Institutional,F005,KSE Meezan Index Fund,Index,2020-04-01,Buy,3414943.65
TXN003068,INV0365,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-04-01,Buy,49835.43
TXN001756,INV0218,Peshawar,Retail,F005,KSE Meezan Index Fund,Index,2020-04-02,Buy,70801.26
TXN002924,INV0349,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-04-02,Buy,140090.46
TXN000243,INV0029,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-04-04,Buy,32014.9
TXN000766,INV0096,Islamabad,Retail,F005,KSE Meezan Index Fund,Index,2020-04-04,Dividend Reinvest,33615.8
TXN004216,INV0500,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-04-04,Buy,36998.17
TXN000565,INV0071,Karachi,HNI,F004,Meezan Balanced Fund,Balanced,2020-04-06,Dividend Reinvest,1426983.01
TXN003364,INV0398,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-04-06,Sell,70332.02
TXN000396,INV0047,Lahore,HNI,F001,Al Meezan Mutual Fund,Equity,2020-04-07,Buy,1048689.67
TXN001889,INV0234,Lahore,HNI,F005,KSE Meezan Index Fund,Index,2020-04-07,Buy,1396627.52
TXN003982,INV0475,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-04-07,Dividend Reinvest,125298.9
TXN002931,INV0350,Karachi,HNI,F003,Meezan Cash Fund,Money Market,2020-04-08,Buy,1371627.03
TXN002542,INV0306,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-04-08,Buy,142938.64
TXN001692,INV0210,Lahore,HNI,F003,Meezan Cash Fund,Money Market,2020-04-09,Buy,912015.41
TXN003877,INV0458,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-04-09,Buy,130817.14
TXN001394,INV0177,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-04-10,Buy,1492168.98
TXN001391,INV0177,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-04-10,Buy,318829.92
TXN003310,INV0391,Quetta,Retail,F004,Meezan Balanced Fund,Balanced,2020-04-10,Buy,74897.28
TXN001313,INV0165,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-04-10,Buy,57819.75
TXN000256,INV0030,Lahore,Institutional,F006,Meezan Gold Fund,Commodity,2020-04-10,Dividend Reinvest,11814651.93
TXN000852,INV0107,Karachi,Institutional,F001,Al Meezan Mutual Fund,Equity,2020-04-11,Buy,9370782.92
TXN000325,INV0038,Islamabad,HNI,F005,KSE Meezan Index Fund,Index,2020-04-11,Sell,590128.55
TXN002886,INV0345,Karachi,Institutional,F006,Meezan Gold Fund,Commodity,2020-04-11,Buy,10682510.36
TXN001567,INV0196,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-04-12,Dividend Reinvest,127592.4
TXN003605,INV0421,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-04-12,Sell,733626.19
TXN000055,INV0007,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-04-13,Sell,92573.49
TXN000285,INV0034,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-04-13,Sell,55446.11
TXN001445,INV0184,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-04-13,Buy,31724.98
TXN001911,INV0237,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-04-14,Buy,37832.94
TXN003904,INV0462,Lahore,HNI,F003,Meezan Cash Fund,Money Market,2020-04-14,Sell,982026.46
TXN001504,INV0190,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-04-15,Sell,61469.15
TXN001384,INV0176,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-04-15,Buy,63689.79
TXN003584,INV0420,Faisalabad,Retail,F002,Meezan Islamic Income Fund,Income,2020-04-16,Sell,112564.36
TXN002014,INV0249,Peshawar,Retail,F001,Al Meezan Mutual Fund,Equity,2020-04-16,Buy,119016.72
TXN001142,INV0145,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-04-16,Buy,145571.28
TXN002056,INV0254,Lahore,Institutional,F006,Meezan Gold Fund,Commodity,2020-04-16,Sell,6537490.81
TXN000508,INV0063,Lahore,Retail,F002,Meezan Islamic Income Fund,Income,2020-04-17,Buy,66286.7
TXN001516,INV0191,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-04-17,Buy,748431.0
TXN003494,INV0410,Islamabad,Retail,F005,KSE Meezan Index Fund,Index,2020-04-17,Sell,110520.67
TXN002713,INV0326,Karachi,Institutional,F001,Al Meezan Mutual Fund,Equity,2020-04-18,Dividend Reinvest,9690381.29
TXN002748,INV0330,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-04-18,Buy,25636.28
TXN001855,INV0231,Islamabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-04-18,Buy,31820.9
TXN001015,INV0131,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-04-18,Sell,49987.8
